Month,Date,type,category,details,cost
Aug-24,1,fare/load,occasional,get bdo card,500
Aug-24,1,food,basic,french baker (tita ida); avocado lover,280
Aug-24,1,misc,occasional,tweezer,169
Aug-24,2,misc,occasional,Trash can,100
Aug-24,2,travel/leisure,self-care,Spotify,149
Aug-24,3,church,basic,donation,100
Aug-24,3,emergency,savings,"Allerta, norgesic+pao+sebo de macho",531.25
Aug-24,3,fare/load,occasional,load from gcash - 2 php conv fee,101
Aug-24,3,misc,occasional,eye hydration 1/3,700
Aug-24,3,misc,occasional,keyboard cover,131.96
Aug-24,4,fare/load,occasional,Withdraw fee: maya card bdo,18
Aug-24,4,food,basic,dinner,200
Aug-24,4,food,basic,Breadtalk,155
Aug-24,4,travel/leisure,self-care,"swimming pool fee, fare",790
Aug-24,7,fare/load,occasional,pamasahe office training,381
Aug-24,7,food,basic,"mcdo, walnut bread, water, jammin jamaica",383
Aug-24,10,fare/load,occasional,grab to and from fitting,125.5
Aug-24,10,food,basic,Camote chips,420
Aug-24,10,savings,savings,savings,-2600
Aug-24,10,travel/leisure,self-care,"fitting, swimming lesson session 4",1093
Aug-24,11,church,basic,"Donation, sampaguita",150
Aug-24,15,fare/load,occasional,fund trans bdo to maya,25
Aug-24,15,food,basic,chowking,929
Aug-24,17,fare/load,occasional,grab - tita ida to jollibee vicas,490
Aug-24,17,fare/load,occasional,load,101
Aug-24,17,food,basic,jollibee,356.81
Aug-24,17,food,basic,shake - tita ida,90
Aug-24,17,travel/leisure,self-care,swimming practice,498
Aug-24,18,church,basic,donation + sapaguita,150
Aug-24,18,food,basic,ice,28
Aug-24,18,travel/leisure,self-care,airfare (roundtrip) 1/5 bahay huni / boracay,820.392
Aug-24,21,electricity,basic,electricity,3118.92
Aug-24,23,emergency,savings,swim sunblock +pau + sebo de macho,449
Aug-24,23,food,basic,sandwich guy + after tree,360
Aug-24,24,food,basic,Quickly paotsin,270
Aug-24,25,church,basic,donation + sampaguita,190
Aug-24,25,emergency,savings,visit to tita Ida (mama grab + food),1410
Aug-24,25,fare/load,occasional,load - extension plus new subs,120
Aug-24,25,food,basic,Tita Ida. Food,427.75
Aug-24,25,travel/leisure,self-care,fare + pool fee,886
Aug-24,26,fare/load,occasional,Tita Ida to bahay,108
Aug-24,26,food,basic,butterboy (strawberry latte & spinach),260
Aug-24,27,food,basic,mcdonalds breakfast @ vicas,99
Aug-24,30,fare/load,occasional,fund trans bdo to seabank,25
Aug-24,30,fare/load,occasional,grab - mama to gsis,131
Aug-24,30,misc,occasional,swim skort,566.72
Aug-24,30,tuition/allowance,aira,"tuition yr 2, sem1/3",7850
Sep-24,1,church,basic,donation and sampaguita,150
Sep-24,1,fare/load,occasional,negative from August,124
Sep-24,1,food,basic,jasmine tea,130
Sep-24,1,food,basic,french baker - cashback subtracted,180
Sep-24,1,food,basic,nuts,1577
Sep-24,1,misc,occasional,eye hydration 2/3,800
Sep-24,1,misc,occasional,eye hydration 3/3,231
Sep-24,1,travel/leisure,self-care,airfare (roundtrip) 2/5 bahay huni / boracay,820.392
Sep-24,1,tuition/allowance,aira,"tuition yr 2, sem1/3",6115
Sep-24,4,fare/load,occasional,100 Load,105
Sep-24,5,emergency,savings,checkup and muscle sprain meds,1330
Sep-24,5,fare/load,occasional,550 Load,561
Sep-24,5,fare/load,occasional,manggahan to VMB,30
Sep-24,6,food,basic,"SM grocery (yoghurt, lettuce, hotcake, baking powder, axion cleanser)",442.95
Sep-24,6,misc,occasional,nuts container + zonrox,427.75
Sep-24,8,church,basic,donation + sampaguita,150
Sep-24,8,fare/load,occasional,fare from tita ida to bahay,113
Sep-24,8,food,basic,palengke,560
Sep-24,8,food,basic,kumori+24 chicken,620
Sep-24,8,misc,occasional,Pegasus 41,3162
Sep-24,8,travel/leisure,self-care,Pegasus 41,3500
Sep-24,10,savings,savings,savings,-2600
Sep-24,13,fare/load,occasional,Fare to and from kpmg,244
Sep-24,13,food,basic,"Mad cafe, 1 L water",415
Sep-24,14,fare/load,occasional,grab - bahay to tita ida,417
Sep-24,14,fare/load,occasional,tita ida to bahay grab,526
Sep-24,14,food,basic,"pan daily, nestle cream",600
Sep-24,15,church,basic,donation,200
Sep-24,15,emergency,savings,EO eyeglass - cashback subtracted,2197
Sep-24,15,emergency,savings,biogesic (20) / kremil-s (10) / decolgen non drowse (12) - cashback subtracted,278.16
Sep-24,15,food,basic,lettuce / mustard / milk / greek yohurt - cashback subtracted,636.31
Sep-24,18,fare/load,occasional,bahay to tita ida grab,402
Sep-24,18,fare/load,occasional,tita bing (katipunan to tita ida) grab,364
Sep-24,19,emergency,savings,flowers for tita ida wake - mamimiss ko tita!,6750
Sep-24,19,fare/load,occasional,tita ida to east ave 1/2 grab,154.98
Sep-24,19,fare/load,occasional,tita ida to east ave 2/2 grab,144.02
Sep-24,19,fare/load,occasional,chowking heart center to bahay grab,602
Sep-24,19,fare/load,occasional,7 days,97.02
Sep-24,19,fare/load,occasional,east ave to tita ida house,76
Sep-24,19,food,basic,chowking lunch,586
Sep-24,19,food,basic,chowking dinner,261
Sep-24,21,electricity,basic,kwh,3712.49
Sep-24,21,emergency,savings,Coffee set for tita Ida's wake,400.55
Sep-24,21,food,basic,"Honey, lettuce",426.75
Sep-24,22,church,basic,"pamisa, donation, sampaguita",200
Sep-24,23,food,basic,"Cucumber, honeydew",49.56
Sep-24,25,emergency,savings,grab - st peter to bahay : mama,502
Sep-24,25,food,basic,watermelon,24.48
Sep-24,25,food,basic,honeydew,24.99
Sep-24,26,fare/load,occasional,load 129,127.71
Sep-24,26,food,basic,coffee,7.4
Sep-24,26,travel/leisure,self-care,coffee,122.6
Sep-24,27,food,basic,lettuce,45
Sep-24,28,food,basic,lettuce,30
Sep-24,28,misc,occasional,haircut downpayment,500
Sep-24,28,stray care,self-care,Tsumi - vet,1000
Sep-24,28,travel/leisure,self-care,rob antipolo,758.76
Sep-24,29,church,basic,"donation, sampaguita",150
Sep-24,29,fare/load,occasional,grab smf to bahay,252
Sep-24,29,misc,occasional,rice water eye cream,1046.5
Sep-24,29,travel/leisure,self-care,mcdonalds + pamasahe from tipolo to smf,282.64
Sep-24,29,travel/leisure,self-care,brow lounge,338.98
Sep-24,30,tuition/allowance,aira,baon,1700
Oct-24,1,food,basic,tuna / cucumber / tomato bottle / one whole chicken / olive oil,985.66
Oct-24,1,misc,occasional,eye hydration 3/3 resid,70.02
Oct-24,1,skin station,self-care,lower leg diode (7 sessions),9200
Oct-24,1,travel/leisure,self-care,airfare (roundtrip) 3/5 bahay huni / boracay,820.392
Oct-24,1,tuition/allowance,aira,baon,1700
Oct-24,1,tuition/allowance,aira,"tuition yr 2, sem1/3",6115
Oct-24,2,water,basic,water bills from August - given to papa,3900
Oct-24,5,emergency,savings,bactroban,399.75
Oct-24,5,misc,occasional,Dr. Belmeur + transaction fee for pag ibig payment,964.11
Oct-24,5,misc,occasional,hand wash,189
Oct-24,6,church,basic,sampaguita + donation + donation,250
Oct-24,10,misc,occasional,A bonne salt,227.4
Oct-24,10,misc,occasional,Yoga band and yoga blocks,264.1
Oct-24,10,misc,occasional,sevich,168.2
Oct-24,10,savings,savings,savings,-2600
Oct-24,10,skin station,self-care,exogen,4800
Oct-24,11,food,basic,french baker sourdough,190
Oct-24,11,food,basic,piatos + yelo + condensed,104
Oct-24,12,misc,occasional,Exercise aids,241.43
Oct-24,12,misc,occasional,Hair accessories for wedding,661.47
Oct-24,13,church,basic,sampaguita + donation + donation,250
Oct-24,13,emergency,savings,"co-aleva, caladryl",541.25
Oct-24,13,food,basic,breadtalk loaf,180
Oct-24,13,food,basic,"bon chon, after 3 (maggy, aira)",1000
Oct-24,13,misc,occasional,"dr kauffman, conditioner, pau, alcohol",355
Oct-24,13,travel/leisure,self-care,"after 3, sandwich guy",300
Oct-24,18,electricity,basic,LAUNDRY,600
Oct-24,18,emergency,savings,"Cetirizine, bed bug checkup",570
Oct-24,18,food,basic,food,350
Oct-24,19,occasions,occasional,(ANT) Roselene's bridal shower,3200
Oct-24,19,occasions,occasional,(ANT) Roselene's bridal shower - gift,212.03
Oct-24,19,travel/leisure,self-care,women's run,1516.5
Oct-24,22,food,basic,Breadtalk,180
Oct-24,22,misc,occasional,"Watsons- cetaphyl, caladryl, tinted su screen for scars",980
Oct-24,22,misc,occasional,Nails,1550
Oct-24,22,misc,occasional,All tips,343
Oct-24,22,misc,occasional,Nbs,98
Oct-24,22,misc,occasional,Nature republic sunblock,675.87
Oct-24,22,misc,occasional,Waterpf case bavin,240.42
Oct-24,22,occasions,occasional,(ANT) Roselene's wedding cash gift,1000
Oct-24,23,electricity,basic,223 kwh,"2,728.03"
Oct-24,25,chargeable to unexpected funds,,bahay huni / boracay,11716.66667
Oct-24,25,misc,occasional,Hair treatment - cuts and curls,3675
Oct-24,25,travel/leisure,self-care,excess boracay expense,2644.23
Oct-24,27,church,basic,"tryk, church donation, candle",150
Oct-24,29,fare/load,occasional,40 days ni tita iDA,417
Oct-24,29,fare/load,occasional,LOAD,111
Oct-24,30,occasions,occasional,Mary Grace bday gift,500
Nov-24,1,electricity,basic,"laundry (no downy, soap, fare expsense)",390
Nov-24,1,food,basic,subway: 6in and latte,260
Nov-24,1,misc,occasional,"decathlon: aqua shoes, running socks",940
Nov-24,1,occasions,occasional,Chilli's birthday treat,3000
Nov-24,1,occasions,occasional,Chilli's birthday treat,680.68
Nov-24,1,travel/leisure,self-care,airfare (roundtrip) 5/5 bahay huni / boracay,820.392
Nov-24,1,travel/leisure,self-care,airfare (roundtrip) 4/5 bahay huni / boracay,820.392
